"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"37",100,1,7,TRUE,0.666666666666667,0.555555555555556,0.616161616161616,0.616161616161616,0.616161616161616,0.616161616161616,0.383838383838384,0.383838383838384,0.474747474747475,0.474747474747475,0.404040404040404,0.404040404040404,0.636363636363636,0.636363636363636,0.919191919191919,0.777777777777778,0.94949494949495,0.616161616161616,0.919191919191919,0.656565656565657,0.636363636363636,0.676767676767677,NA,1,1,1,1,1,1
"38",500,1,7,TRUE,0.651302605210421,0.609218436873748,0.727454909819639,0.727454909819639,0.727454909819639,0.727454909819639,0.619238476953908,0.619238476953908,0.709418837675351,0.709418837675351,0.555110220440882,0.555110220440882,0.697394789579158,0.68937875751503,0.897795591182365,0.797595190380762,0.965931863727455,0.687374749498998,0.933867735470942,0.701402805611222,0.701402805611222,0.753507014028056,NA,1,1,1,1,1,1
"39",1000,1,7,TRUE,0.562562562562563,0.57957957957958,0.703703703703704,0.703703703703704,0.691691691691692,0.691691691691692,0.695695695695696,0.695695695695696,0.741741741741742,0.741741741741742,0.525525525525526,0.525525525525526,0.650650650650651,0.63963963963964,0.868868868868869,0.803803803803804,0.945945945945946,0.652652652652653,0.931931931931932,0.655655655655656,0.642642642642643,0.685685685685686,NA,0.998998998998999,0.998998998998999,1,1,0.998998998998999,0.998998998998999
"40",2000,1,7,TRUE,0.660830415207604,0.570285142571286,0.744372186093047,0.744372186093047,0.720860430215108,0.720860430215108,0.801400700350175,0.801400700350175,0.822911455727864,0.822911455727864,0.652326163081541,0.652326163081541,0.642821410705353,0.656328164082041,0.915957978989495,0.787893946973487,0.95247623811906,0.650825412706353,0.925962981490745,0.658329164582291,0.652326163081541,0.693846923461731,NA,1,1,1,1,1,1
"41",100,5,7,TRUE,0.614736842105263,0.570526315789474,0.610526315789474,0.610526315789474,0.618947368421053,0.618947368421053,0.471578947368421,0.471578947368421,0.524210526315789,0.524210526315789,0.490526315789474,0.490526315789474,0.631578947368421,0.621052631578947,0.782105263157895,0.7,0.802105263157895,0.618947368421053,0.743157894736842,0.623157894736842,0.623157894736842,0.64,NA,0.844210526315789,0.844210526315789,0.856842105263158,0.856842105263158,0.861052631578947,0.861052631578947
"42",500,5,7,TRUE,0.641212121212121,0.565656565656566,0.65010101010101,0.65010101010101,0.649292929292929,0.649292929292929,0.582222222222222,0.582222222222222,0.685656565656566,0.685656565656566,0.528888888888889,0.528888888888889,0.634949494949495,0.631111111111111,0.790707070707071,0.744646464646465,0.834747474747475,0.626666666666667,0.792727272727273,0.633131313131313,0.632727272727273,0.663838383838384,NA,0.894545454545455,0.894545454545455,0.917171717171717,0.917171717171717,0.925656565656566,0.925656565656566
"43",1000,5,7,TRUE,0.628040201005025,0.58251256281407,0.679195979899497,0.679195979899497,0.671557788944724,0.671557788944724,0.691256281407035,0.691256281407035,0.728643216080402,0.728643216080402,0.584321608040201,0.584321608040201,0.64643216080402,0.644020100502513,0.803015075376884,0.757185929648241,0.850653266331658,0.636984924623116,0.807236180904523,0.641407035175879,0.640402010050251,0.67427135678392,NA,0.908341708542714,0.908341708542714,0.923618090452261,0.923618090452261,0.921005025125628,0.921005025125628
"44",2000,5,7,TRUE,0.619298245614035,0.5731328320802,0.681604010025063,0.681604010025063,0.670977443609023,0.670977443609023,0.73453634085213,0.73453634085213,0.751177944862155,0.751177944862155,0.620551378446115,0.620551378446115,0.63203007518797,0.631679197994987,0.788972431077694,0.712080200501253,0.840501253132832,0.628671679197995,0.796491228070175,0.631177944862155,0.629974937343358,0.656741854636592,NA,0.889523809523809,0.889523809523809,0.907268170426065,0.907268170426065,0.915388471177945,0.915388471177945
"45",100,10,7,TRUE,0.631111111111111,0.575555555555556,0.614444444444444,0.614444444444444,0.623333333333333,0.623333333333333,0.521111111111111,0.521111111111111,0.581111111111111,0.581111111111111,0.53,0.53,0.621111111111111,0.624444444444444,0.746666666666667,0.672222222222222,0.794444444444445,0.63,0.75,0.627222222222222,0.616666666666667,0.633333333333333,NA,0.795555555555556,0.795555555555556,0.812222222222222,0.812222222222222,0.824444444444444,0.824444444444444
"46",500,10,7,TRUE,0.637040816326531,0.585510204081633,0.645714285714286,0.645714285714286,0.645510204081633,0.645510204081633,0.616326530612245,0.616326530612245,0.694285714285714,0.694285714285714,0.561632653061224,0.561632653061224,0.634897959183673,0.632448979591837,0.781836734693878,0.715102040816327,0.825918367346939,0.629795918367347,0.780204081632653,0.632040816326531,0.624081632653061,0.651836734693878,NA,0.847959183673469,0.847959183673469,0.86469387755102,0.86469387755102,0.862244897959184,0.862244897959184
