"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"11",1000,10,2,TRUE,0.576489898989899,0.575606060606061,0.56479797979798,0.56479797979798,0.573535353535354,0.573535353535354,0.466010101010101,0.466010101010101,0.475378787878788,0.475378787878788,0.54260101010101,0.54260101010101,0.574949494949495,0.564343434343434,0.5,0.5,NA,0.574015151515151,NA,0.567626262626263,0.57010101010101,0.567121212121212,0.575858585858586,0.575555555555556,0.575555555555556,0.575555555555556,0.575555555555556,0.575555555555556,0.575555555555556
"12",2000,10,2,TRUE,0.579836683417085,0.57856783919598,0.579120603015075,0.579120603015075,0.584899497487437,0.584899497487437,0.456331658291457,0.456331658291457,0.455565326633166,0.455565326633166,0.54536432160804,0.54536432160804,0.574673366834171,0.571356783919598,0.5,0.5,NA,0.581005025125628,NA,0.588241206030151,0.552060301507538,0.572336683417085,0.57856783919598,0.578592964824121,0.578592964824121,0.578592964824121,0.578592964824121,0.578592964824121,0.578592964824121
"13",100,1,3,TRUE,0.666666666666667,0.671717171717172,0.762626262626263,0.762626262626263,0.747474747474747,0.747474747474747,0.651515151515152,0.651515151515152,0.681818181818182,0.681818181818182,0.696969696969697,0.696969696969697,0.676767676767677,0.747474747474748,0.744949494949495,0.603535353535354,0.797979797979798,0.747474747474748,0.777777777777778,0.71969696969697,0.707070707070707,0.75,NA,0.808080808080808,0.808080808080808,0.818181818181818,0.818181818181818,0.808080808080808,0.808080808080808
"14",500,1,3,TRUE,0.57314629258517,0.639278557114228,0.7374749498998,0.7374749498998,0.708416833667335,0.708416833667335,0.691382765531062,0.691382765531062,0.691382765531062,0.691382765531062,0.766533066132264,0.766533066132264,0.691382765531062,0.722444889779559,0.763527054108216,0.640280561122244,0.739478957915832,0.707414829659319,0.722444889779559,0.693386773547094,0.715430861723447,0.721442885771543,NA,0.791583166332665,0.791583166332665,0.792585170340681,0.792585170340681,0.802605210420842,0.802605210420842
"15",1000,1,3,TRUE,0.583083083083083,0.665165165165165,0.742742742742743,0.742742742742743,0.736736736736737,0.736736736736737,0.691691691691692,0.691691691691692,0.691691691691692,0.691691691691692,0.744744744744745,0.744744744744745,0.714214214214214,0.684184184184184,0.778778778778779,0.655155155155155,0.801801801801802,0.704204204204204,0.761261261261261,0.706706706706707,0.678678678678679,0.695695695695696,NA,0.799299299299299,0.799299299299299,0.807807807807808,0.807807807807808,0.785785785785786,0.785785785785786
"16",2000,1,3,TRUE,0.572786393196598,0.586793396698349,0.675087543771886,0.675087543771886,0.653326663331666,0.653326663331666,0.661830915457729,0.661830915457729,0.661830915457729,0.661830915457729,0.699849924962481,0.699849924962481,0.653826913456728,0.665082541270635,0.722861430715358,0.611305652826413,0.727613806903452,0.696598299149575,0.703101550775388,0.66408204102051,0.678339169584792,0.672836418209105,NA,0.715857928964482,0.715857928964482,0.724862431215608,0.724862431215608,0.721110555277639,0.721110555277639
"17",100,5,3,TRUE,0.555263157894737,0.594736842105263,0.631578947368421,0.631578947368421,0.626315789473684,0.626315789473684,0.605263157894737,0.605263157894737,0.596842105263158,0.596842105263158,0.598947368421053,0.598947368421053,0.633157894736842,0.631052631578947,0.673684210526316,0.592105263157895,0.650526315789474,0.637368421052632,0.65578947368421,0.647368421052632,0.621052631578947,0.643684210526316,NA,0.658947368421053,0.658947368421053,0.656842105263158,0.656842105263158,0.656842105263158,0.656842105263158
"18",500,5,3,TRUE,0.60989898989899,0.602424242424242,0.662020202020202,0.662020202020202,0.645050505050505,0.645050505050505,0.643131313131313,0.643131313131313,0.643131313131313,0.643131313131313,0.663636363636364,0.663636363636364,0.635353535353535,0.63959595959596,0.675959595959596,0.585757575757576,0.683838383838384,0.636565656565657,0.658787878787879,0.64040404040404,0.63979797979798,0.642222222222222,NA,0.673131313131313,0.673131313131313,0.676767676767677,0.676767676767677,0.678181818181818,0.678181818181818
"19",1000,5,3,TRUE,0.551155778894472,0.576281407035176,0.629246231155779,0.629246231155779,0.617386934673367,0.617386934673367,0.619447236180904,0.619447236180904,0.619447236180904,0.619447236180904,0.650050251256281,0.650050251256281,0.612663316582915,0.611959798994975,0.63678391959799,0.581909547738694,0.643316582914573,0.614874371859296,0.631959798994975,0.615075376884422,0.60070351758794,0.621105527638191,NA,0.640402010050251,0.640402010050251,0.645829145728643,0.645829145728643,0.645025125628141,0.645025125628141
"20",2000,5,3,TRUE,0.57546365914787,0.595639097744361,0.661904761904762,0.661904761904762,0.65187969924812,0.65187969924812,0.616691729323308,0.616691729323308,0.616691729323308,0.616691729323308,0.682456140350877,0.682456140350877,0.629097744360902,0.627518796992481,0.646616541353384,0.588320802005013,0.663258145363409,0.648521303258145,0.664260651629073,0.637894736842105,0.632330827067669,0.642406015037594,NA,0.676691729323308,0.676691729323308,0.676791979949875,0.676791979949875,0.668170426065163,0.668170426065163
