"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_Loo_multi_low","roc_Loo_multi_high","roc_Loo_low","roc_Loo_high","roc_KNN_log_N_P_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_5_sqrt_N_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_diff_net_high","roc_optics_k_mean_low","roc_optics_k_mean_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_diff_net_high","roc_optics_k_5_low","roc_optics_k_5_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_diff_net_high","roc_optics_sqrt_n_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_diff_net_high","roc_OTS_low","roc_OTS_high","roc_OTS_diff_net_low","roc_OTS_diff_net_high","roc_OTS_cosine_low","roc_OTS_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_cosine_high","roc_OTS_cosine_med_low","roc_OTS_cosine_med_high","roc_OTS_euc_med_low","roc_OTS_euc_med_high","roc_OTS_glob_avg_OTS_low","roc_OTS_glob_avg_OTS_high","roc_spoutlier_low","roc_spoutlier_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_diff_net_norm_high","roc_DPCC_low","roc_DPCC_high","roc_cook_max_low","roc_cook_max_high","roc_cook_max_diff_net_low","roc_cook_max_diff_net_high","roc_cook_avg_low","roc_cook_avg_high","roc_cook_avg_diff_net_low","roc_cook_avg_diff_net_high","roc_cook_med_low","roc_cook_med_high","roc_cook_med_diff_net_low","roc_cook_med_diff_net_high"
"675",1000,10,11,0,0.1,2,3,0.40458837234183,0.784888079404272,0.464412247688969,0.79585307334478,0.462972748483415,0.779771928364749,0.462972748483415,0.779771928364749,0.464271222171712,0.778675696911086,0.464271222171712,0.778675696911086,0.449664788441291,0.786709815884794,0.449664788441291,0.786709815884794,0.426013975987994,0.761275015669014,0.426013975987994,0.761275015669014,0.449664788441291,0.786709815884794,0.449664788441291,0.786709815884794,0.45280726554865,0.784430028799293,0.464854753898457,0.781619903662929,0.295441680304048,0.665532078890692,0.311063294019014,0.675699910509937,0.312619105754847,0.685704916984499,0.456114943949888,0.78004716190698,0.378450540580283,0.743172678968693,0.465542947278598,0.789038068722228,0.458338397686458,0.782795973907834,0.465743594989657,0.785274022773442,NA,NA,0.459764329903113,0.775527510219826,0.459764329903113,0.775527510219826,0.462142147073537,0.788114185249205,0.462142147073537,0.788114185249205,0.459937638754088,0.793867262317613,0.459937638754088,0.793867262317613
"676",100,1,17,0,0.1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459764329903113,0.775527510219826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677",500,1,17,0,0.1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",1000,1,17,0,0.1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679",100,5,17,0,0.1,2,3,0.314136281434963,0.842484403690318,0.398683232036802,0.892823330536151,0.38250349152646,0.870126665620148,0.38250349152646,0.870126665620148,0.379922997719008,0.86306627416672,0.379922997719008,0.86306627416672,0.061138036086605,0.725689293374348,0.061138036086605,0.725689293374348,0.244736182258368,0.801651136179764,0.244736182258368,0.801651136179764,0.263197223530571,0.828399521789427,0.263197223530571,0.828399521789427,0.373354974638565,0.860369537838702,0.374218050332649,0.853890438332619,0.222876227194074,0.786025849766926,0.252841629118865,0.788547956143053,0.226730676340538,0.758989704596324,0.37367579062673,0.867936420878867,0.307347082014668,0.831176766822699,0.384621905004009,0.871476579859922,0.367213482150997,0.869604970992677,0.38374910155715,0.86014126362377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",500,5,17,0,0.1,2,3,0.336426122889833,0.846979473176664,0.400242453994569,0.882519679917925,0.374369087174941,0.857990382588822,0.374369087174941,0.857990382588822,0.372660651423353,0.859256425901905,0.372660651423353,0.859256425901905,0.354936178981731,0.86272852388078,0.354936178981731,0.86272852388078,0.351233344171917,0.858533168044706,0.351233344171917,0.858533168044706,0.365357606090321,0.865578052688869,0.365357606090321,0.865578052688869,0.373255708856346,0.847761696648189,0.369204797909713,0.85619832412665,0.260429540846207,0.752805200609767,0.239968029197353,0.766144240343499,0.222644486495381,0.739721587411456,0.370550021985973,0.859171678040153,0.317541596459462,0.81886095018588,0.377213396608526,0.850166037550798,0.370173536748652,0.850829873342348,0.375855154527485,0.860878702849386,NA,NA,0.363834582274852,0.827242983187487,0.363834582274852,0.827242983187487,0.379278300184164,0.849463815193378,0.379278300184164,0.849463815193378,0.38719295332836,0.866106545945883,0.38719295332836,0.866106545945883
"681",1000,5,17,0,0.1,2,3,0.308835142135075,0.847480637876251,0.387943375361531,0.872280383254058,0.373242234240143,0.85209725059277,0.373242234240143,0.85209725059277,0.369099474065279,0.852458872054673,0.369099474065279,0.852458872054673,0.367443365228919,0.856009761855592,0.367443365228919,0.856009761855592,0.349763203400002,0.836210715458904,0.349763203400002,0.836210715458904,0.368827757364229,0.859344329412938,0.368827757364229,0.859344329412938,0.382569646254422,0.856565645537611,0.387045015273992,0.858176124996254,0.252980072741913,0.755918552048918,0.226963786138226,0.748554175078862,0.216013329739275,0.746802145664669,0.379910805601205,0.851594305797754,0.30788449912198,0.815915071324569,0.375551869688439,0.853500282815907,0.37641252214486,0.858120690335979,0.383990144775145,0.858887017900355,NA,NA,0.373960497118253,0.82611045915712,0.373960497118253,0.82611045915712,0.391309801726343,0.85227568210755,0.391309801726343,0.85227568210755,0.378495077709161,0.865425249004313,0.378495077709161,0.865425249004313
"682",100,10,17,0,0.1,2,3,0.361545627513743,0.75616044091334,0.430726073182031,0.798000405270115,0.413282565876354,0.764504822005178,0.413282565876354,0.764504822005178,0.411331620372551,0.766561303095809,0.411331620372551,0.766561303095809,0.154397624016763,0.592555242829478,0.154397624016763,0.592555242829478,0.360611208926883,0.763170078343326,0.360611208926883,0.763170078343326,0.363322934472521,0.775593846856769,0.363322934472521,0.775593846856769,0.407703439424791,0.76912962668771,0.409156700008869,0.766680261812114,0.303798798443502,0.693273112133598,0.278054399181015,0.663924366332756,0.275511818014403,0.664944054551093,0.403069593672807,0.76841849034923,0.338751883031817,0.738428651048599,0.412402476011103,0.764807933016885,0.401770213436201,0.770762138327642,0.410272731729779,0.767699146613054,NA,NA,0.373960497118253,0.82611045915712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",500,10,17,0,0.1,2,3,0.388381064829223,0.766918948770653,0.468143649000209,0.816144356990441,0.461550111694363,0.788750573954409,0.461550111694363,0.788750573954409,0.462981812756797,0.788871092812693,0.462981812756797,0.788871092812693,0.442544010719502,0.801992185654514,0.442544010719502,0.801992185654514,0.414743158252281,0.773540087519336,0.414743158252281,0.773540087519336,0.425221795168142,0.785287104027478,0.425221795168142,0.785287104027478,0.449244986554511,0.787745033152315,0.461397289057331,0.788982197163625,0.325605321708605,0.685959188250091,0.310326713875341,0.683661473578701,0.296603062945937,0.655709084437283,0.462641588203637,0.78860917577695,0.37855411442277,0.742904252798865,0.454628083417168,0.786339573304238,0.457166805904802,0.78671998396619,0.462435514314799,0.78531275334496,NA,NA,0.42741075746228,0.74868471853013,0.42741075746228,0.74868471853013,0.443729758923267,0.780617963157344,0.443729758923267,0.780617963157344,0.457753311650863,0.78717584559367,0.457753311650863,0.78717584559367
"684",1000,10,17,0,0.1,2,3,0.413425270258594,0.765710193501538,0.493649964965953,0.809627238833111,0.464306676939739,0.789285894000068,0.464306676939739,0.789285894000068,0.461634893213125,0.789094318261074,0.461634893213125,0.789094318261074,0.460581063126153,0.798391762713136,0.460581063126153,0.798391762713136,0.455930123682341,0.776497511979516,0.455930123682341,0.776497511979516,0.479100931554241,0.803299265967914,0.479100931554241,0.803299265967914,0.467926248823704,0.78788280316832,0.466594807996773,0.795076247327451,0.33505303069097,0.69631612297123,0.318551306543384,0.680540636957726,0.288094900940725,0.644634091335527,0.465768541520832,0.791138752678946,0.376225281397566,0.739570152683112,0.460494312246334,0.790798864224132,0.457729778135822,0.78795073928935,0.463611510448398,0.79554158959626,NA,NA,0.448301486651298,0.764526217914693,0.448301486651298,0.764526217914693,0.472212640344927,0.787272282395223,0.472212640344927,0.787272282395223,0.484371138420445,0.799579799374978,0.484371138420445,0.799579799374978
"685",100,1,2,1,0.1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",500,1,2,1,0.1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
